#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (2.144818400948368907e+08+0.000000000000000000e+00j)  (1.728247841904319770e+01+8.262660644462927451e+01j)
 (2.154840916840651035e+08+0.000000000000000000e+00j)  (1.737534806617564698e+01+8.303163160288578126e+01j)
 (2.164863432732933164e+08+0.000000000000000000e+00j)  (1.746825187675963420e+01+8.343775100026060443e+01j)
 (2.174885948625215292e+08+0.000000000000000000e+00j)  (1.756184736306702376e+01+8.384478870983311083e+01j)
 (2.184908464517497420e+08+0.000000000000000000e+00j)  (1.765564890508506224e+01+8.425228502631107119e+01j)
 (2.194930980409779549e+08+0.000000000000000000e+00j)  (1.774950239818277709e+01+8.466090611386191256e+01j)
 (2.204953496302061677e+08+0.000000000000000000e+00j)  (1.784405483966238037e+01+8.507046640880018629e+01j)
 (2.214976012194343805e+08+0.000000000000000000e+00j)  (1.793881752878584734e+01+8.548052053071928924e+01j)
 (2.224998528086625636e+08+0.000000000000000000e+00j)  (1.803365017134136039e+01+8.589173060552765548e+01j)
 (2.235021043978907764e+08+0.000000000000000000e+00j)  (1.812918934423499806e+01+8.630390169078609119e+01j)
 (2.245043559871189892e+08+0.000000000000000000e+00j)  (1.822494344455395421e+01+8.671660253399194573e+01j)
 (2.255066075763472021e+08+0.000000000000000000e+00j)  (1.832078572002550487e+01+8.713049118012811789e+01j)
 (2.265088591655754149e+08+0.000000000000000000e+00j)  (1.841734240563477343e+01+8.754536358916270444e+01j)
 (2.275111107548036277e+08+0.000000000000000000e+00j)  (1.851411919516261406e+01+8.796080247307617128e+01j)
 (2.285133623440318406e+08+0.000000000000000000e+00j)  (1.861100265371394613e+01+8.837746173984069742e+01j)
 (2.295156139332600534e+08+0.000000000000000000e+00j)  (1.870860874812816022e+01+8.879512848617359566e+01j)
 (2.305178655224882662e+08+0.000000000000000000e+00j)  (1.880644062419886353e+01+8.921339921931954109e+01j)
 (2.315201171117164791e+08+0.000000000000000000e+00j)  (1.890439792194631607e+01+8.963292368808492938e+01j)
 (2.325223687009446621e+08+0.000000000000000000e+00j)  (1.900308643258437158e+01+9.005348038812657308e+01j)
 (2.335246202901728749e+08+0.000000000000000000e+00j)  (1.910200694091416196e+01+9.047467944897893233e+01j)
 (2.345268718794010878e+08+0.000000000000000000e+00j)  (1.920107192339028046e+01+9.089716640675703729e+01j)
 (2.355291234686293006e+08+0.000000000000000000e+00j)  (1.930087705522435826e+01+9.132071141429004513e+01j)
 (2.365313750578575134e+08+0.000000000000000000e+00j)  (1.940092094506238851e+01+9.174493808862077060e+01j)
 (2.375336266470857263e+08+0.000000000000000000e+00j)  (1.950112871071132759e+01+9.217048770318558581e+01j)
 (2.385358782363139391e+08+0.000000000000000000e+00j)  (1.960208597970499156e+01+9.259712228184223193e+01j)
 (2.395381298255421519e+08+0.000000000000000000e+00j)  (1.970328932999706595e+01+9.302447877767764339e+01j)
 (2.405403814147703648e+08+0.000000000000000000e+00j)  (1.980467630024596914e+01+9.345319417881502488e+01j)
 (2.415426330039985776e+08+0.000000000000000000e+00j)  (1.990682254822430863e+01+9.388302262384584651e+01j)
 (2.425448845932267606e+08+0.000000000000000000e+00j)  (2.000922279218760025e+01+9.431361425738100479e+01j)
 (2.435471361824549735e+08+0.000000000000000000e+00j)  (2.011182678467435636e+01+9.474560174460441431e+01j)
 (2.445493877716831863e+08+0.000000000000000000e+00j)  (2.021520028556783188e+01+9.517873157453861666e+01j)
 (2.455516393609113991e+08+0.000000000000000000e+00j)  (2.031883632877882562e+01+9.561266694265435717e+01j)
 (2.465538909501396120e+08+0.000000000000000000e+00j)  (2.042269668228349389e+01+9.604803613650740601e+01j)
 (2.475561425393678248e+08+0.000000000000000000e+00j)  (2.052733725520740649e+01+9.648457821287203728e+01j)
 (2.485583941285960376e+08+0.000000000000000000e+00j)  (2.063224954297044889e+01+9.692196929955599671e+01j)
 (2.495606457178242505e+08+0.000000000000000000e+00j)  (2.073740713886231291e+01+9.736083328570373396e+01j)
 (2.505628973070524633e+08+0.000000000000000000e+00j)  (2.084335617416946462e+01+9.780090202163270874e+01j)
 (2.515651488962806761e+08+0.000000000000000000e+00j)  (2.094958676880622406e+01+9.824186443886833331e+01j)
