#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (1.332994613673519045e+08+0.000000000000000000e+00j)  (-2.103219264473284483e+08-1.972109392832149267e+08j)
 (1.343017129565801024e+08+0.000000000000000000e+00j)  (-2.137033326322511733e+08-1.932885871491205692e+08j)
 (1.353039645458083153e+08+0.000000000000000000e+00j)  (-2.170108545778238773e+08-1.893076587695622742e+08j)
 (1.363062161350365281e+08+0.000000000000000000e+00j)  (-2.202434679567499161e+08-1.852695596370895207e+08j)
 (1.373084677242647409e+08+0.000000000000000000e+00j)  (-2.234001754375794530e+08-1.811757133108776510e+08j)
 (1.383107193134929538e+08+0.000000000000000000e+00j)  (-2.264800070058157146e+08-1.770275608932821453e+08j)
 (1.393129709027211666e+08+0.000000000000000000e+00j)  (-2.294820202747766674e+08-1.728265605006458759e+08j)
 (1.403152224919493794e+08+0.000000000000000000e+00j)  (-2.324053007861098349e+08-1.685741867285635471e+08j)
 (1.413174740811775923e+08+0.000000000000000000e+00j)  (-2.352489622998602092e+08-1.642719301118073165e+08j)
 (1.423197256704058051e+08+0.000000000000000000e+00j)  (-2.380121470739960074e+08-1.599212965791186094e+08j)
 (1.433219772596339881e+08+0.000000000000000000e+00j)  (-2.406940261333018839e+08-1.555238069030747712e+08j)
 (1.443242288488622010e+08+0.000000000000000000e+00j)  (-2.432937995275506973e+08-1.510809961452394426e+08j)
 (1.453264804380904138e+08+0.000000000000000000e+00j)  (-2.458106965788734257e+08-1.465944130968074501e+08j)
 (1.463287320273186266e+08+0.000000000000000000e+00j)  (-2.482439761182460487e+08-1.420656197149563730e+08j)
 (1.473309836165468395e+08+0.000000000000000000e+00j)  (-2.505929267110204399e+08-1.374961905551191270e+08j)
 (1.483332352057750523e+08+0.000000000000000000e+00j)  (-2.528568668714288771e+08-1.328877121993912309e+08j)
 (1.493354867950032651e+08+0.000000000000000000e+00j)  (-2.550351452659950852e+08-1.282417826812908202e+08j)
 (1.503377383842314780e+08+0.000000000000000000e+00j)  (-2.571271409057909548e+08-1.235600109070864022e+08j)
 (1.513399899734596908e+08+0.000000000000000000e+00j)  (-2.591322633274815679e+08-1.188440160739124715e+08j)
 (1.523422415626879036e+08+0.000000000000000000e+00j)  (-2.610499527631048858e+08-1.140954270848917067e+08j)
 (1.533444931519160867e+08+0.000000000000000000e+00j)  (-2.628796802985370755e+08-1.093158819614831954e+08j)
 (1.543467447411442995e+08+0.000000000000000000e+00j)  (-2.646209480205999315e+08-1.045070272532788664e+08j)
 (1.553489963303725123e+08+0.000000000000000000e+00j)  (-2.662732891527693570e+08-9.967051744546833634e+07j)
 (1.563512479196007252e+08+0.000000000000000000e+00j)  (-2.678362681794497967e+08-9.480801436419567466e+07j)
 (1.573534995088289380e+08+0.000000000000000000e+00j)  (-2.693094809587817788e+08-8.992118658002960682e+07j)
 (1.583557510980571508e+08+0.000000000000000000e+00j)  (-2.706925548239587545e+08-8.501170880977147818e+07j)
 (1.593580026872853637e+08+0.000000000000000000e+00j)  (-2.719851486730260253e+08-8.008126131682325900e+07j)
 (1.603602542765135765e+08+0.000000000000000000e+00j)  (-2.731869530471478701e+08-7.513152931034043431e+07j)
 (1.613625058657417893e+08+0.000000000000000000e+00j)  (-2.742976901973258257e+08-7.016420234339301288e+07j)
 (1.623647574549700022e+08+0.000000000000000000e+00j)  (-2.753171141395608783e+08-6.518097371035883576e+07j)
 (1.633670090441981852e+08+0.000000000000000000e+00j)  (-2.762450106984527707e+08-6.018353984377337992e+07j)
 (1.643692606334263980e+08+0.000000000000000000e+00j)  (-2.770811975392367244e+08-5.517359971085957438e+07j)
 (1.653715122226546109e+08+0.000000000000000000e+00j)  (-2.778255241882607341e+08-5.015285420996183902e+07j)
 (1.663737638118828237e+08+0.000000000000000000e+00j)  (-2.784778720419123173e+08-4.512300556710747629e+07j)
 (1.673760154011110365e+08+0.000000000000000000e+00j)  (-2.790381543640052676e+08-4.008575673291861266e+07j)
 (1.683782669903392494e+08+0.000000000000000000e+00j)  (-2.795063162716453671e+08-3.504281078009754419e+07j)
 (1.693805185795674622e+08+0.000000000000000000e+00j)  (-2.798823347095947862e+08-2.999587030170740560e+07j)
 (1.703827701687956750e+08+0.000000000000000000e+00j)  (-2.801662184131604433e+08-2.494663681047000736e+07j)
 (1.713850217580238879e+08+0.000000000000000000e+00j)  (-2.803580078596373200e+08-1.989681013930153102e+07j)
 (1.723872733472521007e+08+0.000000000000000000e+00j)  (-2.804577752083388567e+08-1.484808784330622666e+07j)
 (1.733895249364802837e+08+0.000000000000000000e+00j)  (-2.804656242292543054e+08-9.802164603447405621e+06j)
 (1.743917765257084966e+08+0.000000000000000000e+00j)  (-2.803816902203749418e+08-4.760731632114076987e+06j)
 (1.753940281149367094e+08+0.000000000000000000e+00j)  (-2.802061399137356877e+08+2.745239191996452864e+05j)
 (1.763962797041649222e+08+0.000000000000000000e+00j)  (-2.799391713702226877e+08+5.301919549885996617e+06j)
 (1.773985312933931351e+08+0.000000000000000000e+00j)  (-2.795810138632041216e+08+1.031977799767100438e+07j)
 (1.784007828826213479e+08+0.000000000000000000e+00j)  (-2.791319277510400414e+08+1.532642782330417447e+07j)
 (1.794030344718495607e+08+0.000000000000000000e+00j)  (-2.785922043385379314e+08+2.032020399227802828e+07j)
 (1.804052860610777736e+08+0.000000000000000000e+00j)  (-2.779621657274192572e+08+2.529944845336660743e+07j)
 (1.814075376503059864e+08+0.000000000000000000e+00j)  (-2.772421646558696032e+08+3.026251071377338096e+07j)
 (1.824097892395341992e+08+0.000000000000000000e+00j)  (-2.764325843272480965e+08+3.520774841068099439e+07j)
 (1.834120408287623823e+08+0.000000000000000000e+00j)  (-2.755338382280343771e+08+4.013352787899631262e+07j)
 (1.844142924179905951e+08+0.000000000000000000e+00j)  (-2.745463699350988269e+08+4.503822471508672088e+07j)
 (1.854165440072188079e+08+0.000000000000000000e+00j)  (-2.734706529123803973e+08+4.992022433630474657e+07j)
 (1.864187955964470208e+08+0.000000000000000000e+00j)  (-2.723071902970674634e+08+5.477792253610049933e+07j)
 (1.874210471856752336e+08+0.000000000000000000e+00j)  (-2.710565146753727198e+08+5.960972603452319652e+07j)
 (1.884232987749034464e+08+0.000000000000000000e+00j)  (-2.697191878480032682e+08+6.441405302391487360e+07j)
 (1.894255503641316593e+08+0.000000000000000000e+00j)  (-2.682958005854289532e+08+6.918933370960205793e+07j)
 (1.904278019533598721e+08+0.000000000000000000e+00j)  (-2.667869723730537295e+08+7.393401084539268911e+07j)
 (1.914300535425880849e+08+0.000000000000000000e+00j)  (-2.651933511464009881e+08+7.864654026368826628e+07j)
 (1.924323051318162680e+08+0.000000000000000000e+00j)  (-2.635156130164273381e+08+8.332539140002366900e+07j)
 (1.934345567210444808e+08+0.000000000000000000e+00j)  (-2.617544619850797653e+08+8.796904781184887886e+07j)
 (1.944368083102726936e+08+0.000000000000000000e+00j)  (-2.599106296512201428e+08+9.257600769136989117e+07j)
 (1.954390598995009065e+08+0.000000000000000000e+00j)  (-2.579848749070373774e+08+9.714478437226870656e+07j)
 (1.964413114887291193e+08+0.000000000000000000e+00j)  (-2.559779836250782907e+08+1.016739068301238418e+08j)
 (1.974435630779573321e+08+0.000000000000000000e+00j)  (-2.538907683360263407e+08+1.061619201763571203e+08j)
 (1.984458146671855450e+08+0.000000000000000000e+00j)  (-2.517240678973623812e+08+1.106073861455339342e+08j)
