#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (1.453264804380904138e+08+0.000000000000000000e+00j)  (-1.093975224770907317e+01-5.958542422987058984e+01j)
 (1.463287320273186266e+08+0.000000000000000000e+00j)  (-1.060085334325731665e+01-5.928110603686673130e+01j)
 (1.473309836165468395e+08+0.000000000000000000e+00j)  (-1.054180357724888673e+01-5.969346449793570031e+01j)
 (1.483332352057750523e+08+0.000000000000000000e+00j)  (-1.095689755344489669e+01-5.950623053050921385e+01j)
 (1.493354867950032651e+08+0.000000000000000000e+00j)  (-1.061966322674660468e+01-5.921380641283329993e+01j)
 (1.503377383842314780e+08+0.000000000000000000e+00j)  (-1.057011410488311576e+01-5.961981369190297642e+01j)
 (1.513399899734596908e+08+0.000000000000000000e+00j)  (-1.097518058598504709e+01-5.942857219377146549e+01j)
 (1.523422415626879036e+08+0.000000000000000000e+00j)  (-1.063961264484663083e+01-5.914768913494647506e+01j)
 (1.533444931519160867e+08+0.000000000000000000e+00j)  (-1.059922179274819953e+01-5.954748962787295596e+01j)
 (1.543467447411442995e+08+0.000000000000000000e+00j)  (-1.099451075623032814e+01-5.935243603686527791e+01j)
 (1.553489963303725123e+08+0.000000000000000000e+00j)  (-1.066061495499821099e+01-5.908276238952920778e+01j)
 (1.563512479196007252e+08+0.000000000000000000e+00j)  (-1.062906197594575808e+01-5.947649061874543008e+01j)
 (1.573534995088289380e+08+0.000000000000000000e+00j)  (-1.101481105563614626e+01-5.927780826921615187e+01j)
 (1.583557510980571508e+08+0.000000000000000000e+00j)  (-1.068259398359293932e+01-5.901902842542203587e+01j)
 (1.593580026872853637e+08+0.000000000000000000e+00j)  (-1.065957422286982847e+01-5.940681047680065063e+01j)
 (1.603602542765135765e+08+0.000000000000000000e+00j)  (-1.103600794784618699e+01-5.920467556713880697e+01j)
 (1.613625058657417893e+08+0.000000000000000000e+00j)  (-1.070547921238720157e+01-5.895649205173410223e+01j)
 (1.623647574549700022e+08+0.000000000000000000e+00j)  (-1.069070609258091231e+01-5.933844621960105314e+01j)
 (1.633670090441981852e+08+0.000000000000000000e+00j)  (-1.105803864333587150e+01-5.913302588064848209e+01j)
 (1.643692606334263980e+08+0.000000000000000000e+00j)  (-1.072920985078548917e+01-5.889515553675163773e+01j)
 (1.653715122226546109e+08+0.000000000000000000e+00j)  (-1.072241146193959516e+01-5.927139223951562741e+01j)
 (1.663737638118828237e+08+0.000000000000000000e+00j)  (-1.108084607013633160e+01-5.906284636796575427e+01j)
 (1.673760154011110365e+08+0.000000000000000000e+00j)  (-1.075373109056587850e+01-5.883502073873322757e+01j)
