#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (1.533444931519160867e+08+0.000000000000000000e+00j)  (-1.077557065859788032e+01-5.905380049026820188e+01j)
 (1.543467447411442995e+08+0.000000000000000000e+00j)  (-9.860026007410782611e+00-5.941797703221360649e+01j)
 (1.553489963303725123e+08+0.000000000000000000e+00j)  (-1.067019144313453438e+01-5.997477012546011110e+01j)
 (1.563512479196007252e+08+0.000000000000000000e+00j)  (-1.077831416919316965e+01-5.895488493021296961e+01j)
 (1.573534995088289380e+08+0.000000000000000000e+00j)  (-9.886260767153961737e+00-5.933017791840398303e+01j)
 (1.583557510980571508e+08+0.000000000000000000e+00j)  (-1.069365065120329383e+01-5.986315725788406894e+01j)
 (1.593580026872853637e+08+0.000000000000000000e+00j)  (-1.078214115223388525e+01-5.885930442633659254e+01j)
 (1.603602542765135765e+08+0.000000000000000000e+00j)  (-9.912986665898717575e+00-5.924522886517750919e+01j)
 (1.613625058657417893e+08+0.000000000000000000e+00j)  (-1.071750005364919289e+01-5.975505603767314966e+01j)
 (1.623647574549700022e+08+0.000000000000000000e+00j)  (-1.078699241149503685e+01-5.876691925783634218e+01j)
 (1.633670090441981852e+08+0.000000000000000000e+00j)  (-9.940177507723788608e+00-5.916301442788207510e+01j)
 (1.643692606334263980e+08+0.000000000000000000e+00j)  (-1.074171654131508546e+01-5.965031836537187360e+01j)
 (1.653715122226546109e+08+0.000000000000000000e+00j)  (-1.079281499466845062e+01-5.867760183976209731e+01j)
 (1.663737638118828237e+08+0.000000000000000000e+00j)  (-9.967812327887118684e+00-5.908342876144632072e+01j)
 (1.673760154011110365e+08+0.000000000000000000e+00j)  (-1.076628211587962269e+01-5.954880595602512017e+01j)
 (1.683782669903392494e+08+0.000000000000000000e+00j)  (-1.079956127097862684e+01-5.859123147430643286e+01j)
 (1.693805185795674622e+08+0.000000000000000000e+00j)  (-9.995870945565217269e+00-5.900637218774428305e+01j)
 (1.703827701687956750e+08+0.000000000000000000e+00j)  (-1.079117898848664048e+01-5.945039113431087685e+01j)
 (1.713850217580238879e+08+0.000000000000000000e+00j)  (-1.080718734824638716e+01-5.850769795240848481e+01j)
 (1.723872733472521007e+08+0.000000000000000000e+00j)  (-1.002433630633254680e+01-5.893175353343832512e+01j)
 (1.733895249364802837e+08+0.000000000000000000e+00j)  (-1.081639265034676356e+01-5.935495579556458523e+01j)
 (1.743917765257084966e+08+0.000000000000000000e+00j)  (-1.081565441931637217e+01-5.842689885088736190e+01j)
 (1.753940281149367094e+08+0.000000000000000000e+00j)  (-1.005319457726731791e+01-5.885948739197797863e+01j)
 (1.763962797041649222e+08+0.000000000000000000e+00j)  (-1.084191098384609120e+01-5.926238852385890254e+01j)
 (1.773985312933931351e+08+0.000000000000000000e+00j)  (-1.082492618910321269e+01-5.834873727334202442e+01j)
 (1.784007828826213479e+08+0.000000000000000000e+00j)  (-1.008243172275025934e+01-5.878949427905391900e+01j)
 (1.794030344718495607e+08+0.000000000000000000e+00j)  (-1.086772267702154515e+01-5.917258735366218758e+01j)
 (1.804052860610777736e+08+0.000000000000000000e+00j)  (-1.083497104071874872e+01-5.827312437831141523e+01j)
 (1.814075376503059864e+08+0.000000000000000000e+00j)  (-1.011203735002003867e+01-5.872169924791653983e+01j)
 (1.824097892395341992e+08+0.000000000000000000e+00j)  (-1.089381783406742343e+01-5.908545507061715085e+01j)
 (1.834120408287623823e+08+0.000000000000000000e+00j)  (-1.084575821530428108e+01-5.819997667893275661e+01j)
 (1.844142924179905951e+08+0.000000000000000000e+00j)  (-1.014200127997954759e+01-5.865603414139550864e+01j)
 (1.854165440072188079e+08+0.000000000000000000e+00j)  (-1.092018934129148811e+01-5.900090290246154723e+01j)
 (1.864187955964470208e+08+0.000000000000000000e+00j)  (-1.085726243123066048e+01-5.812921587543885238e+01j)
 (1.874210471856752336e+08+0.000000000000000000e+00j)  (-1.017231604168847703e+01-5.859243276591071492e+01j)
 (1.884232987749034464e+08+0.000000000000000000e+00j)  (-1.094683020848856714e+01-5.891884552895400873e+01j)
 (1.894255503641316593e+08+0.000000000000000000e+00j)  (-1.086945883892664355e+01-5.806076826325661244e+01j)
 (1.904278019533598721e+08+0.000000000000000000e+00j)  (-1.020297440490323382e+01-5.853083404784748467e+01j)
 (1.914300535425880849e+08+0.000000000000000000e+00j)  (-1.097373488448933543e+01-5.883920380320181920e+01j)
 (1.924323051318162680e+08+0.000000000000000000e+00j)  (-1.088232549195949339e+01-5.799456477230385332e+01j)
 (1.934345567210444808e+08+0.000000000000000000e+00j)  (-1.023397070528372588e+01-5.847118038531849038e+01j)
 (1.944368083102726936e+08+0.000000000000000000e+00j)  (-1.100089936894224785e+01-5.876190308788680028e+01j)
 (1.954390598995009065e+08+0.000000000000000000e+00j)  (-1.089584322638350677e+01-5.793053958773802492e+01j)
 (1.964413114887291193e+08+0.000000000000000000e+00j)  (-1.026530047596556372e+01-5.841341574956900473e+01j)
 (1.974435630779573321e+08+0.000000000000000000e+00j)  (-1.102831932233471690e+01-5.868687106240434304e+01j)
 (1.984458146671855450e+08+0.000000000000000000e+00j)  (-1.090999201276935970e+01-5.786862958184546812e+01j)
 (1.994480662564137578e+08+0.000000000000000000e+00j)  (-1.029695697631543716e+01-5.835748809827516936e+01j)
 (2.004503178456419706e+08+0.000000000000000000e+00j)  (-1.105598919474287456e+01-5.861404231488244676e+01j)
 (2.014525694348701835e+08+0.000000000000000000e+00j)  (-1.092475386541382321e+01-5.780877860312890704e+01j)
 (2.024548210240983665e+08+0.000000000000000000e+00j)  (-1.032893678035721585e+01-5.830335040157824267e+01j)
 (2.034570726133265793e+08+0.000000000000000000e+00j)  (-1.108390706581325524e+01-5.854335492973488186e+01j)
 (2.044593242025547922e+08+0.000000000000000000e+00j)  (-1.094011379694240382e+01-5.775093186977179016e+01j)
 (2.054615757917830050e+08+0.000000000000000000e+00j)  (-1.036123694273094742e+01-5.825095659510428447e+01j)
 (2.064638273810112178e+08+0.000000000000000000e+00j)  (-1.111207089767413692e+01-5.847474982708740754e+01j)
 (2.074660789702394307e+08+0.000000000000000000e+00j)  (-1.095605782999743560e+01-5.769503746685658996e+01j)
 (2.084683305594676435e+08+0.000000000000000000e+00j)  (-1.039385497164997396e+01-5.820026285291883283e+01j)
 (2.094705821486958563e+08+0.000000000000000000e+00j)  (-1.114047895067316318e+01-5.840817098624975756e+01j)
 (2.104728337379240692e+08+0.000000000000000000e+00j)  (-1.097257321299097477e+01-5.764104625883239663e+01j)
 (2.114750853271522820e+08+0.000000000000000000e+00j)  (-1.042678927150534385e+01-5.815122721137731077e+01j)
 (2.124773369163804650e+08+0.000000000000000000e+00j)  (-1.116912984190150482e+01-5.834356411380817775e+01j)
 (2.134795885056086779e+08+0.000000000000000000e+00j)  (-1.098964673188197239e+01-5.758891049679616714e+01j)
 (2.144818400948368907e+08+0.000000000000000000e+00j)  (-1.046003624043912517e+01-5.810381038317085256e+01j)
 (2.154840916840651035e+08+0.000000000000000000e+00j)  (-1.119802137098656125e+01-5.828088028388561526e+01j)
 (2.164863432732933164e+08+0.000000000000000000e+00j)  (-1.100726761916185126e+01-5.753858744594332819e+01j)
 (2.174885948625215292e+08+0.000000000000000000e+00j)  (-1.049359565792326698e+01-5.805797533542139632e+01j)
 (2.184908464517497420e+08+0.000000000000000000e+00j)  (-1.122715355767854994e+01-5.822007088106455797e+01j)
 (2.194930980409779549e+08+0.000000000000000000e+00j)  (-1.102542526328225492e+01-5.749003386587754250e+01j)
 (2.204953496302061677e+08+0.000000000000000000e+00j)  (-1.052746524242215465e+01-5.801368589845210977e+01j)
 (2.214976012194343805e+08+0.000000000000000000e+00j)  (-1.125652481425454177e+01-5.816109072766833066e+01j)
 (2.224998528086625636e+08+0.000000000000000000e+00j)  (-1.104410951485450276e+01-5.744321011704740698e+01j)
 (2.235021043978907764e+08+0.000000000000000000e+00j)  (-1.056164352390419126e+01-5.797090833118292608e+01j)
 (2.245043559871189892e+08+0.000000000000000000e+00j)  (-1.128613406168191524e+01-5.810389679760831427e+01j)
 (2.255066075763472021e+08+0.000000000000000000e+00j)  (-1.106331049899589836e+01-5.739807836766858173e+01j)
 (2.265088591655754149e+08+0.000000000000000000e+00j)  (-1.059612844778236429e+01-5.792961107123673514e+01j)
 (2.275111107548036277e+08+0.000000000000000000e+00j)  (-1.131598010414122513e+01-5.804844963774451827e+01j)
 (2.285133623440318406e+08+0.000000000000000000e+00j)  (-1.108301998343907968e+01-5.735460423341427116e+01j)
 (2.295156139332600534e+08+0.000000000000000000e+00j)  (-1.063092026264921408e+01-5.788976454088594181e+01j)
 (2.305178655224882662e+08+0.000000000000000000e+00j)  (-1.134606371290670523e+01-5.799471046040515176e+01j)
 (2.315201171117164791e+08+0.000000000000000000e+00j)  (-1.110323040579564413e+01-5.731275291735767041e+01j)
 (2.325223687009446621e+08+0.000000000000000000e+00j)  (-1.066601790053564258e+01-5.785133941977136374e+01j)
 (2.335246202901728749e+08+0.000000000000000000e+00j)  (-1.137638431273363615e+01-5.794264279573923204e+01j)
 (2.345268718794010878e+08+0.000000000000000000e+00j)  (-1.112393438359543296e+01-5.727249235820351458e+01j)
 (2.355291234686293006e+08+0.000000000000000000e+00j)  (-1.070142094262235766e+01-5.781430838029205432e+01j)
 (2.365313750578575134e+08+0.000000000000000000e+00j)  (-1.140694201819628439e+01-5.789221187693396331e+01j)
 (2.375336266470857263e+08+0.000000000000000000e+00j)  (-1.114512525237327623e+01-5.723379158728656790e+01j)
 (2.385358782363139391e+08+0.000000000000000000e+00j)  (-1.073712890586060631e+01-5.777864485581682175e+01j)
 (2.395381298255421519e+08+0.000000000000000000e+00j)  (-1.143773646279509393e+01-5.784338424553484259e+01j)
 (2.405403814147703648e+08+0.000000000000000000e+00j)  (-1.116679597835555349e+01-5.719662113262569392e+01j)
 (2.415426330039985776e+08+0.000000000000000000e+00j)  (-1.077314069586811129e+01-5.774432402113555440e+01j)
 (2.425448845932267606e+08+0.000000000000000000e+00j)  (-1.146876701132781839e+01-5.779612878585888325e+01j)
 (2.435471361824549735e+08+0.000000000000000000e+00j)  (-1.118893985995712015e+01-5.716095363600390300e+01j)
 (2.445493877716831863e+08+0.000000000000000000e+00j)  (-1.080945536829519860e+01-5.771132299957206158e+01j)
 (2.455516393609113991e+08+0.000000000000000000e+00j)  (-1.150003357809590732e+01-5.775041680319608872e+01j)
 (2.465538909501396120e+08+0.000000000000000000e+00j)  (-1.121155176305883217e+01-5.712676358176033631e+01j)
 (2.475561425393678248e+08+0.000000000000000000e+00j)  (-1.084607343374865174e+01-5.767961939904837010e+01j)
