#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (3.680106161685256362e+08+0.000000000000000000e+00j)  (5.933251137989336677e+00-1.137252086620854818e+01j)
 (3.700106738650937080e+08+0.000000000000000000e+00j)  (-2.092806646863742959e+00-2.091741319209252481e+01j)
 (3.720107315616617799e+08+0.000000000000000000e+00j)  (-1.361404131786512473e+01-1.615245352182506267e+01j)
 (3.740107892582298517e+08+0.000000000000000000e+00j)  (-1.285310364840261954e+01-3.718676358104132884e+00j)
 (3.760108469547979236e+08+0.000000000000000000e+00j)  (-1.139043917191003175e+00-3.911423708963704393e-01j)
 (3.780109046513659954e+08+0.000000000000000000e+00j)  (5.456165895438660485e+00-1.010795334390732414e+01j)
 (3.800109623479340672e+08+0.000000000000000000e+00j)  (-1.709155100040007369e+00-1.907587672250608790e+01j)
 (3.820110200445021391e+08+0.000000000000000000e+00j)  (-1.242031420040862955e+01-1.496079748858384839e+01j)
 (3.840110777410702705e+08+0.000000000000000000e+00j)  (-1.199587475722110597e+01-3.495100353016205474e+00j)
 (3.860111354376383424e+08+0.000000000000000000e+00j)  (-1.254956799648347499e+00-1.724153399602629533e-01j)
 (3.880111931342064142e+08+0.000000000000000000e+00j)  (5.064428847476595941e+00-9.018092801633152078e+00j)
 (3.900112508307744861e+08+0.000000000000000000e+00j)  (-1.361120987879201438e+00-1.749555294051774723e+01j)
 (3.920113085273425579e+08+0.000000000000000000e+00j)  (-1.138145791664210194e+01-1.394007598435021755e+01j)
 (3.940113662239106297e+08+0.000000000000000000e+00j)  (-1.125132162230171318e+01-3.301304134321709327e+00j)
 (3.960114239204787016e+08+0.000000000000000000e+00j)  (-1.346585185636606452e+00+2.576295580102758859e-02j)
 (3.980114816170467734e+08+0.000000000000000000e+00j)  (4.742480618103548373e+00-8.065523800309959412e+00j)
 (4.000115393136148453e+08+0.000000000000000000e+00j)  (-1.039645800756753946e+00-1.612397461490989770e+01j)
 (4.020115970101829171e+08+0.000000000000000000e+00j)  (-1.046654773914887748e+01-1.305699552897872273e+01j)
 (4.040116547067509890e+08+0.000000000000000000e+00j)  (-1.059826187393234065e+01-3.130557309194184956e+00j)
 (4.060117124033190608e+08+0.000000000000000000e+00j)  (-1.418403676677610692e+00+2.099083687143451782e-01j)
 (4.080117700998871326e+08+0.000000000000000000e+00j)  (4.479197218660003976e+00-7.221870342441710555e+00j)
 (4.100118277964552045e+08+0.000000000000000000e+00j)  (-7.371371286749071050e-01-1.492152032388687566e+01j)
 (4.120118854930232763e+08+0.000000000000000000e+00j)  (-9.651496709260852569e+00-1.228659778587827667e+01j)
 (4.140119431895913482e+08+0.000000000000000000e+00j)  (-1.002019873807361883e+01-2.978083680675996270e+00j)
 (4.160120008861594200e+08+0.000000000000000000e+00j)  (-1.473603354230013318e+00+3.847897871470717934e-01j)
 (4.180120585827274919e+08+0.000000000000000000e+00j)  (4.266306123112754811e+00-6.465479915014123335e+00j)
 (4.200121162792955637e+08+0.000000000000000000e+00j)  (-4.474716303175440557e-01-1.385783116746821264e+01j)
 (4.220121739758636355e+08+0.000000000000000000e+00j)  (-8.917509017493086887e+00-1.160973924457668893e+01j)
 (4.240122316724317074e+08+0.000000000000000000e+00j)  (-9.504191074764744229e+00-2.840166687258686817e+00j)
