#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (4.620133279072251320e+08+0.000000000000000000e+00j)  (-1.446466743123830855e+08+2.239923546694156826e+08j)
 (4.640133856037932038e+08+0.000000000000000000e+00j)  (-1.404673166682114005e+08+2.263177332301728725e+08j)
 (4.660134433003612757e+08+0.000000000000000000e+00j)  (-1.362506577348420918e+08+2.285645668067438006e+08j)
 (4.680135009969293475e+08+0.000000000000000000e+00j)  (-1.319981846079895645e+08+2.307322611404883862e+08j)
 (4.700135586934974194e+08+0.000000000000000000e+00j)  (-1.277113937222685367e+08+2.328202503392215967e+08j)
 (4.720136163900654912e+08+0.000000000000000000e+00j)  (-1.233917903060406744e+08+2.348279970204380155e+08j)
 (4.740136740866335630e+08+0.000000000000000000e+00j)  (-1.190408878341581076e+08+2.367549924439800084e+08j)
 (4.760137317832016349e+08+0.000000000000000000e+00j)  (-1.146602074788080454e+08+2.386007566341232061e+08j)
 (4.780137894797697067e+08+0.000000000000000000e+00j)  (-1.102512775586676449e+08+2.403648384910539389e+08j)
 (4.800138471763377786e+08+0.000000000000000000e+00j)  (-1.058156329865727574e+08+2.420468158917182088e+08j)
 (4.820139048729058504e+08+0.000000000000000000e+00j)  (-1.013548147159092128e+08+2.436462957800265253e+08j)
 (4.840139625694739223e+08+0.000000000000000000e+00j)  (-9.687036918593187630e+07+2.451629142464012206e+08j)
 (4.860140202660419941e+08+0.000000000000000000e+00j)  (-9.236384776621893048e+07+2.465963365966595411e+08j)
 (4.880140779626101255e+08+0.000000000000000000e+00j)  (-8.783680620046734810e+07+2.479462574102269709e+08j)
 (4.900141356591781974e+08+0.000000000000000000e+00j)  (-8.329080404983735085e+07+2.492124005876813829e+08j)
 (4.920141933557462692e+08+0.000000000000000000e+00j)  (-7.872740413604986668e+07+2.503945193876310885e+08j)
 (4.940142510523143411e+08+0.000000000000000000e+00j)  (-7.414817198444478214e+07+2.514923964529362619e+08j)
