#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (3.516267312644205689e+08+0.000000000000000000e+00j)  (2.076733117237186477e+01+2.764426963882160848e+01j)
 (3.536246104193320274e+08+0.000000000000000000e+00j)  (5.386998329463729362e+01+2.620360117768236563e+01j)
 (3.556224895742434859e+08+0.000000000000000000e+00j)  (6.276214834909158924e+01-6.108272882181720931e+00j)
 (3.576203687291550040e+08+0.000000000000000000e+00j)  (3.499236088965624702e+01-2.462848342645979116e+01j)
 (3.596182478840664625e+08+0.000000000000000000e+00j)  (9.327927195817004247e+00-4.107053338248615404e+00j)
 (3.616161270389779210e+08+0.000000000000000000e+00j)  (2.144009095354192951e+01+2.615050721950197143e+01j)
 (3.636140061938894391e+08+0.000000000000000000e+00j)  (5.417008008728740265e+01+2.339329751547644420e+01j)
 (3.656118853488008976e+08+0.000000000000000000e+00j)  (6.168202635884847496e+01-8.917867273041391485e+00j)
 (3.676097645037124157e+08+0.000000000000000000e+00j)  (3.346525968369334691e+01-2.613576731171570344e+01j)
 (3.696076436586238742e+08+0.000000000000000000e+00j)  (8.823912874050792610e+00-4.805974555849782170e+00j)
 (3.716055228135353327e+08+0.000000000000000000e+00j)  (2.192292771185822886e+01+2.475923183483464030e+01j)
 (3.736034019684468508e+08+0.000000000000000000e+00j)  (5.424310484261344101e+01+2.091513807991261942e+01j)
 (3.756012811233583093e+08+0.000000000000000000e+00j)  (6.058410763263552212e+01-1.130245990836329995e+01j)
 (3.775991602782697678e+08+0.000000000000000000e+00j)  (3.207586632012558425e+01-2.738497527192577152e+01j)
 (3.795970394331812859e+08+0.000000000000000000e+00j)  (8.363343423185956027e+00-5.438846626802614104e+00j)
 (3.815949185880927444e+08+0.000000000000000000e+00j)  (2.226048730736032510e+01+2.346002314946374057e+01j)
 (3.835927977430042028e+08+0.000000000000000000e+00j)  (5.415088521550714518e+01+1.870256220084637988e+01j)
 (3.855906768979157209e+08+0.000000000000000000e+00j)  (5.948124483255336514e+01-1.335770320734646788e+01j)
 (3.875885560528271794e+08+0.000000000000000000e+00j)  (3.079351894018079605e+01-2.843449326092832052e+01j)
 (3.895864352077386975e+08+0.000000000000000000e+00j)  (7.932995101202788391e+00-6.012735468912094206e+00j)
 (3.915843143626501560e+08+0.000000000000000000e+00j)  (2.248736329917693411e+01+2.224677322632430787e+01j)
 (3.935821935175616145e+08+0.000000000000000000e+00j)  (5.394000931150067402e+01+1.670871905442813699e+01j)
 (3.955800726724731326e+08+0.000000000000000000e+00j)  (5.838479574599832489e+01-1.515137650562577321e+01j)
 (3.975779518273845911e+08+0.000000000000000000e+00j)  (2.959869969323013095e+01-2.932528471821514415e+01j)
 (3.995758309822960496e+08+0.000000000000000000e+00j)  (7.526650628513577246e+00-6.532059649701496440e+00j)
 (4.015737101372075677e+08+0.000000000000000000e+00j)  (2.263229583602882400e+01+2.111473600338024070e+01j)
 (4.035715892921190262e+08+0.000000000000000000e+00j)  (5.364756730282967823e+01+1.489834884573448370e+01j)
 (4.055694684470305443e+08+0.000000000000000000e+00j)  (5.730558707679001884e+01-1.673424292964208959e+01j)
 (4.075673476019420028e+08+0.000000000000000000e+00j)  (2.847955899108139022e+01-3.008832011453305810e+01j)
 (4.095652267568534613e+08+0.000000000000000000e+00j)  (7.142641279410557154e+00-7.001107189113098705e+00j)
 (4.115631059117649794e+08+0.000000000000000000e+00j)  (2.271960419969207123e+01+2.005866248856250067e+01j)
 (4.135609850666764379e+08+0.000000000000000000e+00j)  (5.330365384662913897e+01+1.324291897343408841e+01j)
 (4.155588642215878963e+08+0.000000000000000000e+00j)  (5.625359795228064996e+01-1.814646410028324297e+01j)
 (4.175567433764994144e+08+0.000000000000000000e+00j)  (2.742902668983579062e+01-3.074874541251200810e+01j)
 (4.195546225314108729e+08+0.000000000000000000e+00j)  (6.781839016699355405e+00-7.425122361696079309e+00j)
 (4.215525016863223314e+08+0.000000000000000000e+00j)  (2.276981289593386393e+01+1.907197736846893221e+01j)
 (4.235503808412338495e+08+0.000000000000000000e+00j)  (5.293267432147109730e+01+1.171769722369184663e+01j)
 (4.255482599961453080e+08+0.000000000000000000e+00j)  (5.523731251359402705e+01-1.942160261599691040e+01j)
 (4.275461391510568261e+08+0.000000000000000000e+00j)  (2.644235900423871755e+01-3.132834183846389919e+01j)
 (4.295440183059682846e+08+0.000000000000000000e+00j)  (6.445753549302295937e+00-7.810575431425589521e+00j)
 (4.315418974608797431e+08+0.000000000000000000e+00j)  (2.279957466515253017e+01+1.814684062986662028e+01j)
 (4.335397766157912612e+08+0.000000000000000000e+00j)  (5.255386559482597875e+01+1.030050411370545227e+01j)
 (4.355376557707027197e+08+0.000000000000000000e+00j)  (5.426308094800837978e+01-2.058856484754792859e+01j)
 (4.375355349256141782e+08+0.000000000000000000e+00j)  (2.551541074120083508e+01-3.184643920574479736e+01j)
 (4.395334140805256963e+08+0.000000000000000000e+00j)  (6.135290649650031902e+00-8.164613958593934129e+00j)
 (4.415312932354371548e+08+0.000000000000000000e+00j)  (2.282178644527632017e+01+1.727488907827524045e+01j)
 (4.435291723903486729e+08+0.000000000000000000e+00j)  (5.218193828281711433e+01+8.971499437447702618e+00j)
 (4.455270515452601314e+08+0.000000000000000000e+00j)  (5.333506794579462706e+01-2.167239022889583566e+01j)
 (4.475249307001715899e+08+0.000000000000000000e+00j)  (2.464389334079778848e+01-3.232012721300937130e+01j)
 (4.495228098550831079e+08+0.000000000000000000e+00j)  (5.850340734140160315e+00-8.494399887879948707e+00j)
 (4.515206890099945664e+08+0.000000000000000000e+00j)  (2.284604576659720365e+01+1.644793872295509729e+01j)
 (4.535185681649060249e+08+0.000000000000000000e+00j)  (5.182779547908702256e+01+7.713221833685623530e+00j)
 (4.555164473198175430e+08+0.000000000000000000e+00j)  (5.245544141198379862e+01-2.269449850086394349e+01j)
 (4.575143264747290015e+08+0.000000000000000000e+00j)  (2.382318926135837600e+01-3.276393586465854213e+01j)
 (4.595122056296404600e+08+0.000000000000000000e+00j)  (5.590111439762247336e+00-8.806110792562710898e+00j)
 (4.615100847845519781e+08+0.000000000000000000e+00j)  (2.287995198251724105e+01+1.565884433284861466e+01j)
 (4.635079639394634366e+08+0.000000000000000000e+00j)  (5.150025683078519023e+01+6.510560828023912450e+00j)
 (4.655058430943749547e+08+0.000000000000000000e+00j)  (5.162567943234214596e+01-2.367346437665464975e+01j)
 (4.675037222492864132e+08+0.000000000000000000e+00j)  (2.304904249570460095e+01-3.319067083143337982e+01j)
 (4.695016014041978717e+08+0.000000000000000000e+00j)  (5.353633644522909130e+00-9.105505449856810429e+00j)
 (4.714994805591093898e+08+0.000000000000000000e+00j)  (2.292972220018848972e+01+1.490093771029599168e+01j)
 (4.734973597140208483e+08+0.000000000000000000e+00j)  (5.120654131871989989e+01+5.349944640988664624e+00j)
 (4.754952388689323068e+08+0.000000000000000000e+00j)  (5.084659679728950010e+01-2.462581797942077699e+01j)
 (4.774931180238438249e+08+0.000000000000000000e+00j)  (2.231731920536283553e+01-3.361173117311693659e+01j)
 (4.794909971787552834e+08+0.000000000000000000e+00j)  (5.139833710704433400e+00-9.397744858021431114e+00j)
 (4.814888763336667418e+08+0.000000000000000000e+00j)  (2.300085659298625629e+01+1.416816081766232571e+01j)
 (4.834867554885782599e+08+0.000000000000000000e+00j)  (5.095317300726917864e+01+4.218932529231332218e+00j)
 (4.854846346434897184e+08+0.000000000000000000e+00j)  (5.011892754928810945e+01-2.556691390840656197e+01j)
 (4.874825137984012365e+08+0.000000000000000000e+00j)  (2.162410453198218718e+01-3.403796878191773345e+01j)
 (4.894803929533126950e+08+0.000000000000000000e+00j)  (4.947431913138220061e+00-9.687963516558674826e+00j)
 (4.914782721082241535e+08+0.000000000000000000e+00j)  (2.309809615690723561e+01+1.345465105184687005e+01j)
 (4.934761512631356716e+08+0.000000000000000000e+00j)  (5.074591289215088352e+01+3.105768899306146746e+00j)
 (4.954740304180471301e+08+0.000000000000000000e+00j)  (4.944304672266556366e+01-2.651128822932010820e+01j)
 (4.974719095729585886e+08+0.000000000000000000e+00j)  (2.096533545087343597e+01-3.447967522103161286e+01j)
 (4.994697887278701067e+08+0.000000000000000000e+00j)  (4.774879163188384901e+00-9.980886695232365824e+00j)
