#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (2.037836738009710014e+08+0.000000000000000000e+00j)  (9.031200062975590637e-01-4.096107445189356611e+01j)
 (2.057815529558824897e+08+0.000000000000000000e+00j)  (-2.088225604724197026e+01-3.848115694633221295e+01j)
 (2.077794321107939482e+08+0.000000000000000000e+00j)  (-2.518707304510307310e+01-1.698086839998842734e+01j)
 (2.097773112657054365e+08+0.000000000000000000e+00j)  (-5.097825920319680293e+00-6.006690910932080740e+00j)
 (2.117751904206169248e+08+0.000000000000000000e+00j)  (1.314452781345390875e+01-2.233646572318155066e+01j)
 (2.137730695755284131e+08+0.000000000000000000e+00j)  (4.281883079667363923e+00-4.627117420771243417e+01j)
 (2.157709487304398715e+08+0.000000000000000000e+00j)  (-2.122060371253144950e+01-4.648026674842283512e+01j)
 (2.177688278853513598e+08+0.000000000000000000e+00j)  (-2.918754479046529937e+01-2.232502808944327555e+01j)
 (2.197667070402628481e+08+0.000000000000000000e+00j)  (-7.062079093421449016e+00-7.000265537035766705e+00j)
 (2.217645861951743364e+08+0.000000000000000000e+00j)  (1.704782515194146697e+01-2.449591133278530819e+01j)
 (2.237624653500857949e+08+0.000000000000000000e+00j)  (9.619566883665275014e+00-5.568833803893205925e+01j)
 (2.257603445049972832e+08+0.000000000000000000e+00j)  (-2.240879364002179486e+01-6.067596210016009906e+01j)
 (2.277582236599087715e+08+0.000000000000000000e+00j)  (-3.689723450005519112e+01-3.197017140055575624e+01j)
 (2.297561028148202300e+08+0.000000000000000000e+00j)  (-1.087296104442690670e+01-8.923554029364696660e+00j)
 (2.317539819697317183e+08+0.000000000000000000e+00j)  (2.483073216361215074e+01-2.934036863331977329e+01j)
 (2.337518611246432066e+08+0.000000000000000000e+00j)  (2.044700496412449198e+01-7.658147994797339209e+01j)
 (2.357497402795546949e+08+0.000000000000000000e+00j)  (-2.623594171689540389e+01-9.371453225217392458e+01j)
 (2.377476194344661534e+08+0.000000000000000000e+00j)  (-5.719046722145712636e+01-5.600098548988376734e+01j)
 (2.397454985893776417e+08+0.000000000000000000e+00j)  (-2.176823880213199303e+01-1.428228653385653146e+01j)
 (2.417433777442891300e+08+0.000000000000000000e+00j)  (4.971395551800858215e+01-4.634260101865116610e+01j)
 (2.437412568992006183e+08+0.000000000000000000e+00j)  (6.000515219582385384e+01-1.610409555032616424e+02j)
 (2.457391360541120768e+08+0.000000000000000000e+00j)  (-5.453468736161320862e+01-2.653453260089874561e+02j)
 (2.477370152090235651e+08+0.000000000000000000e+00j)  (-2.419337985112107390e+02-2.438068862719015328e+02j)
 (2.497348943639350533e+08+0.000000000000000000e+00j)  (-3.665327990494872665e+02-7.546245996487201069e+01j)
 (2.517327735188465416e+08+0.000000000000000000e+00j)  (-3.310159835068230905e+02+1.348199134427071328e+02j)
 (2.537306526737580001e+08+0.000000000000000000e+00j)  (-1.664299458480530518e+02+2.473854088603817729e+02j)
 (2.557285318286694884e+08+0.000000000000000000e+00j)  (1.196004754585690277e-01+2.106146153366401848e+02j)
 (2.577264109835809767e+08+0.000000000000000000e+00j)  (6.368145062063855733e+01+9.459773387901221042e+01j)
 (2.597242901384924352e+08+0.000000000000000000e+00j)  (2.542793495585252828e+01+1.091183565920406906e+01j)
 (2.617221692934039235e+08+0.000000000000000000e+00j)  (-3.291261910460496409e+01+8.454071215770756709e+00j)
 (2.637200484483154118e+08+0.000000000000000000e+00j)  (-4.268544744226355192e+01+4.776188723547156201e+01j)
 (2.657179276032269001e+08+0.000000000000000000e+00j)  (-7.767904833996217562e+00+6.378863597387157824e+01j)
 (2.677158067581383586e+08+0.000000000000000000e+00j)  (2.104601483536214701e+01+3.763886317704083240e+01j)
 (2.697136859130498767e+08+0.000000000000000000e+00j)  (1.249634090669570341e+01+3.520135628001218375e+00j)
 (2.717115650679613352e+08+0.000000000000000000e+00j)  (-1.542776880624450264e+01-1.928602690841044076e+00j)
 (2.737094442228727937e+08+0.000000000000000000e+00j)  (-2.621263272682048395e+01+1.835947723879689519e+01j)
 (2.757073233777843118e+08+0.000000000000000000e+00j)  (-1.012526540028833466e+01+3.271784760776228040e+01j)
 (2.777052025326957703e+08+0.000000000000000000e+00j)  (9.309146720926660734e+00+2.237975985115088307e+01j)
 (2.797030816876072288e+08+0.000000000000000000e+00j)  (8.309554736524733087e+00+1.213756354937178372e+00j)
 (2.817009608425187469e+08+0.000000000000000000e+00j)  (-9.024077099167515215e+00-5.686132497642200079e+00j)
 (2.836988399974302053e+08+0.000000000000000000e+00j)  (-1.949400727357896557e+01+6.480088101739662321e+00j)
 (2.856967191523417234e+08+0.000000000000000000e+00j)  (-1.110284644396087472e+01+1.903932795787306986e+01j)
