#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (1.980057119602393508e+08+0.000000000000000000e+00j)  (1.041034351964033711e+01+2.589721501381275814e+01j)
 (2.000057696568074226e+08+0.000000000000000000e+00j)  (2.583977578269384878e+01+4.089494711504107727e+01j)
 (2.020058273533754945e+08+0.000000000000000000e+00j)  (4.503133860132206934e+01+3.130807161273832051e+01j)
 (2.040058850499435663e+08+0.000000000000000000e+00j)  (4.079509695628752297e+01+9.992649807622012048e+00j)
 (2.060059427465116382e+08+0.000000000000000000e+00j)  (1.702451970813465820e+01+8.404324472045257011e+00j)
 (2.080060004430797100e+08+0.000000000000000000e+00j)  (6.532111415023437395e+00+3.305807412182779359e+01j)
 (2.100060581396477818e+08+0.000000000000000000e+00j)  (2.674294434977072399e+01+5.316638669422292196e+01j)
 (2.120061158362158537e+08+0.000000000000000000e+00j)  (5.243740702969525813e+01+4.093543201468641968e+01j)
 (2.140061735327839255e+08+0.000000000000000000e+00j)  (4.706681844901542888e+01+1.255472053773280372e+01j)
 (2.160062312293519974e+08+0.000000000000000000e+00j)  (1.468437769477420041e+01+1.055198469693670305e+01j)
 (2.180062889259200990e+08+0.000000000000000000e+00j)  (-1.340324045086145055e-01+4.529228683783700404e+01j)
 (2.200063466224881709e+08+0.000000000000000000e+00j)  (2.839256764046144710e+01+7.489474828323758970e+01j)
 (2.220064043190562427e+08+0.000000000000000000e+00j)  (6.617038000485686666e+01+5.856171664861122395e+01j)
 (2.240064620156243145e+08+0.000000000000000000e+00j)  (5.917681179359325228e+01+1.730710685411634842e+01j)
 (2.260065197121923864e+08+0.000000000000000000e+00j)  (9.965089106679892339e+00+1.474545431700138920e+01j)
 (2.280065774087604582e+08+0.000000000000000000e+00j)  (-1.429610230161317830e+01+7.137226911135194030e+01j)
 (2.300066351053285301e+08+0.000000000000000000e+00j)  (3.245024862865384563e+01+1.244269225103883372e+02j)
 (2.320066928018966019e+08+0.000000000000000000e+00j)  (1.005803415405419514e+02+1.018345578765688799e+02j)
 (2.340067504984646738e+08+0.000000000000000000e+00j)  (9.250611766113614465e+01+2.973932308271580993e+01j)
 (2.360068081950327456e+08+0.000000000000000000e+00j)  (-4.564599481177474161e+00+2.761819830903270301e+01j)
 (2.380068658916008174e+08+0.000000000000000000e+00j)  (-6.475402977133244065e+01+1.677507180086811331e+02j)
 (2.400069235881688893e+08+0.000000000000000000e+00j)  (5.729556912723447226e+01+3.541452554238080666e+02j)
 (2.420069812847369611e+08+0.000000000000000000e+00j)  (3.466971378969028024e+02+3.834539339032164662e+02j)
 (2.440070389813050628e+08+0.000000000000000000e+00j)  (5.982756692887760437e+02+1.512601875693890747e+02j)
 (2.460070966778731346e+08+0.000000000000000000e+00j)  (5.974398124786567905e+02-2.154096005801248452e+02j)
 (2.480071543744412065e+08+0.000000000000000000e+00j)  (3.332331918928382493e+02-4.582675562582585940e+02j)
 (2.500072120710092783e+08+0.000000000000000000e+00j)  (1.411768716681488556e+01-4.281678165222198800e+02j)
 (2.520072697675773501e+08+0.000000000000000000e+00j)  (-1.339780557732464672e+02-2.150159296705811300e+02j)
