#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (3.140090583611876369e+08+0.000000000000000000e+00j)  (-2.302634744017287360e+01-6.547093546769982453e+00j)
 (3.160091160577557087e+08+0.000000000000000000e+00j)  (7.403286237540301906e-01-2.897637196928141368e+00j)
 (3.180091737543237805e+08+0.000000000000000000e+00j)  (1.083958574547892084e+01-2.303079369586772884e+01j)
 (3.200092314508918524e+08+0.000000000000000000e+00j)  (-5.100209424730365093e+00-3.785279173622045334e+01j)
 (3.220092891474599242e+08+0.000000000000000000e+00j)  (-2.405386247081494844e+01-2.708450498467756518e+01j)
 (3.240093468440279961e+08+0.000000000000000000e+00j)  (-2.029516223665848429e+01-5.760553110435489899e+00j)
 (3.260094045405960679e+08+0.000000000000000000e+00j)  (1.614579502932916022e-01-2.209904628088945167e+00j)
 (3.280094622371641397e+08+0.000000000000000000e+00j)  (9.317676610486449462e+00-1.953685431937441663e+01j)
 (3.300095199337322116e+08+0.000000000000000000e+00j)  (-4.259522460239701935e+00-3.281855669070842652e+01j)
 (3.320095776303002834e+08+0.000000000000000000e+00j)  (-2.102614744176043970e+01-2.385606635182773161e+01j)
 (3.340096353268684149e+08+0.000000000000000000e+00j)  (-1.816275908772190917e+01-5.158211825780243842e+00j)
 (3.360096930234364867e+08+0.000000000000000000e+00j)  (-2.609939671764660019e-01-1.679816982416519444e+00j)
 (3.380097507200045586e+08+0.000000000000000000e+00j)  (8.156286836390492567e+00-1.681358260028362039e+01j)
 (3.400098084165726304e+08+0.000000000000000000e+00j)  (-3.574127451289178747e+00-2.887141458056434118e+01j)
 (3.420098661131407022e+08+0.000000000000000000e+00j)  (-1.861312413420866463e+01-2.131289374502396328e+01j)
 (3.440099238097087741e+08+0.000000000000000000e+00j)  (-1.644967795529678867e+01-4.683932236540774063e+00j)
 (3.460099815062768459e+08+0.000000000000000000e+00j)  (-5.767696343031603057e-01-1.258712354058945104e+00j)
 (3.480100392028449178e+08+0.000000000000000000e+00j)  (7.248311330735599078e+00-1.463308331619646907e+01j)
 (3.500100968994129896e+08+0.000000000000000000e+00j)  (-2.999891282574347340e+00-2.569801114986602286e+01j)
 (3.520101545959810615e+08+0.000000000000000000e+00j)  (-1.664277382011956163e+01-1.926198345373779475e+01j)
 (3.540102122925491333e+08+0.000000000000000000e+00j)  (-1.504258743269782350e+01-4.301956966745585476e+00j)
 (3.560102699891172051e+08+0.000000000000000000e+00j)  (-8.175663350954792685e-01-9.149962521390000436e-01j)
 (3.580103276856852770e+08+0.000000000000000000e+00j)  (6.524948830378293430e+00-1.284782704610032056e+01j)
 (3.600103853822533488e+08+0.000000000000000000e+00j)  (-2.507710883661758761e+00-2.309385085816204608e+01j)
 (3.620104430788214207e+08+0.000000000000000000e+00j)  (-1.500169505859681252e+01-1.757608085378758744e+01j)
 (3.640105007753894925e+08+0.000000000000000000e+00j)  (-1.386593483891521039e+01-3.988123459992748643e+00j)
 (3.660105584719575644e+08+0.000000000000000000e+00j)  (-1.004006130395442176e+00-6.271526200051172895e-01j)
 (3.680106161685256362e+08+0.000000000000000000e+00j)  (5.940451970345607791e+00-1.135821723843442221e+01j)
 (3.700106738650937080e+08+0.000000000000000000e+00j)  (-2.077383910447841764e+00-2.092008296738518069e+01j)
 (3.720107315616617799e+08+0.000000000000000000e+00j)  (-1.361216549289122568e+01-1.616811388751939660e+01j)
 (3.740107892582298517e+08+0.000000000000000000e+00j)  (-1.286768276209302009e+01-3.725491931369538712e+00j)
 (3.760108469547979236e+08+0.000000000000000000e+00j)  (-1.150294014228002704e+00-3.796595996896732217e-01j)
 (3.780109046513659954e+08+0.000000000000000000e+00j)  (5.463266658381298768e+00-1.009400526585416991e+01j)
 (3.800109623479340672e+08+0.000000000000000000e+00j)  (-1.694087430193775390e+00-1.907854489835448319e+01j)
 (3.820110200445021391e+08+0.000000000000000000e+00j)  (-1.241853332173569591e+01-1.497610145027371864e+01j)
 (3.840110777410702705e+08+0.000000000000000000e+00j)  (-1.201012779092011584e+01-3.501692079215767084e+00j)
 (3.860111354376383424e+08+0.000000000000000000e+00j)  (-1.265865815037895858e+00-1.611483983004046161e-01j)
 (3.880111931342064142e+08+0.000000000000000000e+00j)  (5.071469651028515990e+00-9.004520564523177839e+00j)
 (3.900112508307744861e+08+0.000000000000000000e+00j)  (-1.346387543154659250e+00-1.749828432476518358e+01j)
 (3.920113085273425579e+08+0.000000000000000000e+00j)  (-1.137981222338771659e+01-1.395510154557502425e+01j)
 (3.940113662239106297e+08+0.000000000000000000e+00j)  (-1.126534334597765685e+01-3.307702289570618959e+00j)
 (3.960114239204787016e+08+0.000000000000000000e+00j)  (-1.357242490361549869e+00+3.686059925058215309e-02j)
 (3.980114816170467734e+08+0.000000000000000000e+00j)  (4.749435352583779135e+00-8.052239504921161029e+00j)
 (4.000115393136148453e+08+0.000000000000000000e+00j)  (-1.025207945984464519e+00-1.612670508907081413e+01j)
 (4.020115970101829171e+08+0.000000000000000000e+00j)  (-1.046498298418674011e+01-1.307173549364024367e+01j)
 (4.040116547067509890e+08+0.000000000000000000e+00j)  (-1.061202943778714847e+01-3.136791320611113321e+00j)
